Line #,Key,en Version,ka Translation
1,ka.activerecord.models.user.one,User,მომხმარებელი
2,ka.activerecord.models.user.other,Users,მომხმარებლები
3,ka.activerecord.models.provider.one,Provider,მომსახურების მიმწოდებელი
4,ka.activerecord.models.provider.other,Providers,მომსახურების მიმწოდებელი
5,ka.activerecord.models.place.one,Organisation,ორგანიზაცია
6,ka.activerecord.models.place.other,Organisations,ორგანიზაციები
7,ka.activerecord.models.service.one,Service,მომსახურება
8,ka.activerecord.models.service.other,Services,მომსახურება
9,ka.activerecord.models.page_content.one,Page Content,გვერდის ინფორმაცია
10,ka.activerecord.models.page_content.other,Page Contents,გვერდის ინფორმაცია
11,ka.activerecord.models.place_invitation.one,Invitation,მოწვევა
12,ka.activerecord.models.place_invitation.other,Invitations,მოწვევა
13,ka.activerecord.models.place_rates.one,rate,შეფასება
14,ka.activerecord.models.place_service.one,Service,მომსახურება
15,ka.activerecord.models.place_service.other,Services,მომსახურება
16,ka.activerecord.models.page_content_item.one,List Item,ჩამონათვალი
17,ka.activerecord.models.page_content_item.other,List Items,ჩამონათვალი
18,ka.activerecord.models.tag.declined,(Declined),(უარყოფა)
19,ka.activerecord.models.resource.one,Resource,რესურსი
20,ka.activerecord.models.resource.other,Topic,თემა
21,ka.activerecord.models.resource_item.one,Chapter,საკითხი
22,ka.activerecord.models.resource_item.other,Chapters,საკითხები
23,ka.activerecord.models.resource_content.one,Resource Content,რესურსის  აღწერა
24,ka.activerecord.models.resource_content.other,Resource Contents,რესურსის აღწერა
25,ka.activerecord.attributes.provider.name,Provider Name,მომსახურების მიმწოდებლის დასახელება
26,ka.activerecord.attributes.provider.description,Provider Description,მოსახურების მიმწოდებლის აღწერა 
27,ka.activerecord.attributes.providers.name,Provider Name,მომსახურების მიმწოდებლის დასახელება
28,ka.activerecord.attributes.providers.description,Provider Description,მომსახურების მიმწოდებლის დასახელება
29,ka.activerecord.attributes.service.name,Service Name,მომსახურების  დასახელება
30,ka.activerecord.attributes.service.description,Service Description,მომსახურების  აღწერა
31,ka.activerecord.attributes.service.icon,Service Icon,მოსახურების სიმბოლო
32,ka.activerecord.attributes.service.color,Service Color,მომსახურების  ფერი
33,ka.activerecord.attributes.service.for_adults,For Adults,ზრდასრულთათვის
34,ka.activerecord.attributes.service.for_children,For Children,ბავშვებისთვის
35,ka.activerecord.attributes.service.parent,Parent Service,ძირითადი მომსახურება 
36,ka.activerecord.attributes.service.sub_services,Services,მომსახურებები
37,ka.activerecord.attributes.service.position,Position,პოზიცია 
38,ka.activerecord.attributes.page_content.title,Title,სათაური
39,ka.activerecord.attributes.page_content.content,Content,შინაარსი
40,ka.activerecord.attributes.user.first_name,First Name,სახელი
41,ka.activerecord.attributes.user.last_name,Last Name,გვარი
42,ka.activerecord.attributes.user.name,Name,სახელი
43,ka.activerecord.attributes.user.password,Password,პაროლი
44,ka.activerecord.attributes.user.username,Username,მომხმარებლის სახელი
45,ka.activerecord.attributes.user.email,Email,ელ.ფოსტა
46,ka.activerecord.attributes.user.password_confirmation,Password Confirmation,პაროლის დადასტურება
47,ka.activerecord.attributes.user.is_service_provider,Publish your organization's services on Sheaghe,გსურთ მომსახურების რეგისტრაცია?
48,ka.activerecord.attributes.user.roles.user,User,მომხმარებელი
49,ka.activerecord.attributes.user.roles.provider,Organisation,ორგანიზაცია
50,ka.activerecord.attributes.user.roles.admin,Admin,ადმინისტრატორი
51,ka.activerecord.attributes.user.providers.one,Organisation,ორგანიზაცია
52,ka.activerecord.attributes.user.providers.other,Organisations,ორგანიზაციები 
53,ka.activerecord.attributes.place.name,Name,სახელი
54,ka.activerecord.attributes.place.director,Director,ხელმძღვანელი
55,ka.activerecord.attributes.place.description,Description,აღწერა
56,ka.activerecord.attributes.place.services,Services,მომსახურებები
57,ka.activerecord.attributes.place.email,Email,ელ.ფოსტა
58,ka.activerecord.attributes.place.phone,Phone,ტელეფონი
59,ka.activerecord.attributes.place.phone2,Phone 2,ტელეფონი 2
60,ka.activerecord.attributes.place.website,Website,ვებ-გვერდი
61,ka.activerecord.attributes.place.facebook,Facebook,Facebook
62,ka.activerecord.attributes.place.address,Address,მისამართი
63,ka.activerecord.attributes.place.city,City,ქალაქი
64,ka.activerecord.attributes.place.postal_code,Postal Code,საფოსტო ინდექსი
65,ka.activerecord.attributes.place.region,Region,რეგიონი
66,ka.activerecord.attributes.place.municipality,Municipality,მუნიციპალიტეტი
67,ka.activerecord.attributes.place.tags,Tags,კატეგორია
68,ka.activerecord.attributes.place.provider,Provider,სერვისის მიმწოდებელი
69,ka.activerecord.attributes.place_invitation.place,Organisation ,ორგანიზაცია
70,ka.activerecord.attributes.place_invitation.user,User,მომხმარებელი
71,ka.activerecord.attributes.place_invitation.sent_by,Sent By,გამომგზავნი
72,ka.activerecord.attributes.place_invitation.has_accepted,Has Accepted?,დადასტურებულია?
73,ka.activerecord.attributes.place_invitation.email,Email,ელ.ფოსტა
74,ka.activerecord.attributes.place_invitation.created_at,Date Sent,გაგზავნის თარიღი
75,ka.activerecord.attributes.place_service.place,Organisation,ორგანიზაცია
76,ka.activerecord.attributes.place_service.service,Service,მომსახურება
77,ka.activerecord.attributes.place_service.is_restricited_geographic_area,Service is available to persons in all regions of Georgia,მომსახურება მიეწოდება ნებისმიერ გეოგრაფიულ არეალში მცხოვრებ პირს
78,ka.activerecord.attributes.place_service.geographic_area_municipalities,Service is available to persons living in the following municipalitie/s,მომსახურება  მიეწოდება შემდეგ მუნიციპალიტეტში / ებში მცხოვრებ პირის
79,ka.activerecord.attributes.place_service.service_type,Service type,მომსახურების ტიპი
80,ka.activerecord.attributes.place_service.service_types.municipal,Municipality - funded service,მომსახურების ფინანსური მხარდამჭერია მუნიციპალიტეტი
81,ka.activerecord.attributes.place_service.service_types.state,Central government - funded service,მომსახურების ფინანსური მხარდამჭერია ცენტრალური ხელისუფლება
82,ka.activerecord.attributes.place_service.service_types.private_org,Private service (not supported by local or central government),მომსახურება კერძოა
83,ka.activerecord.attributes.place_service.act_regulating_service,"The name of the Administrative Act, Program / Sub-program, regulating the service","სამართლებრივი აქტის და პროგრამის სახელწოდება, რომლის საფუძველზეც მოქმედებს მოსახურება "
84,ka.activerecord.attributes.place_service.act_link,The Link to the Act,სამართლებრივი აქტის ბმული
85,ka.activerecord.attributes.place_service.description,Short description of the service,მომსახურების მოკლე აღწერა
86,ka.activerecord.attributes.place_service.has_age_restriction,Service is available to persons of all ages,მომსახურება განკუთვნილია ნებისმიერი ასაკობრივი ჯგუფისთვის 
87,ka.activerecord.attributes.place_service.age_groups,The service is available to the following ages,მომსახურება განკუთვნილია შემდეგი ასაკობრივი ჯგუფისთვის
88,ka.activerecord.attributes.place_service.can_be_used_by,Service can be used by,მომსახურებით სარგებლობა შეუძლია
89,ka.activerecord.attributes.place_service.can_be_used_bies.anyone,By any person,ნებისმიერ პირს
90,ka.activerecord.attributes.place_service.can_be_used_bies.diagnosis_with_status,By any person having disability status and related diagnosis,შეზღუდული შესაძლებლობის მქონე პირს 
91,ka.activerecord.attributes.place_service.can_be_used_bies.diagnosis_without_status,Persons with specific diagnoses (with or withought disability status),გარკვეული დიაგნოზის მქონე პირს (შეზღუდული შესაძლებლობის სტატუსით ან მის გარეშე)
92,ka.activerecord.attributes.place_service.diagnoses,Please list the diagnoses,გთხოვთ დააზუსტოთ დიაგნოზები
93,ka.activerecord.attributes.place_service.service_activities,Organization provides the following activities ,ორგანიზაცია აწვდის  შემდეგი სახის აქტივობებს 
94,ka.activerecord.attributes.place_service.service_specialists,The following specialists are involved in service provision ,მომსახურებას აწვდიან შემდეგი სპეციალისტები
95,ka.activerecord.attributes.place_service.need_finance,Co-financing may be required,მომხმარებელი შესაძლოა საჭიროებდეს მომსახურების თანადაფინანსებას
96,ka.activerecord.attributes.place_service.get_involved_link,Please indicate the link for people to learn how to get involved,"მიუთითეთ ბმული დაინტერესებული პირისთვის, რომ გაიგოს როგორ ჩაერთოს მომსახურებაში"
97,ka.activerecord.attributes.place_service.published,Show this service to the public,მომსახურების გასაჯაროება
98,ka.activerecord.attributes.place_service.created_at,Date Created,შექმნის თარიღი
99,ka.activerecord.attributes.place_service.updated_at,Date Last Updated,ბოლო განახლების თარიღი
100,ka.activerecord.attributes.place_service.has_content,Service Content Has Been Entered?,ყველა ველი შევსებულია? 
101,ka.activerecord.attributes.place_user.place,Organisation,ორგანიზაცია
102,ka.activerecord.attributes.place_user.user,User,მომხმარებელი
103,ka.activerecord.attributes.place_user.created_at,Date Joined,რეგისტრაციის თარიღი
104,ka.activerecord.attributes.resource.title,Title,სათაური
105,ka.activerecord.attributes.resource.content,Content,შინაარსი
106,ka.activerecord.attributes.resourceitem.title,Chapter Titel ,საკითხი 
107,ka.activerecord.errors.models.user.attributes.email.taken,This email is already used,აღნიშნული ელ.ფოსტა უკვე დარეგისტრირებულია
108,ka.activerecord.errors.models.user.attributes.providers.not_filled,data is not filled,მონაცემები არ არის შეყვანილი
109,ka.simple_form.placeholders.place.website,http://example.com,http://example.com
110,ka.simple_form.placeholders.place.tags,Type tag name and press enter,"ჩაწერეთ კატეგორიის დასახელება და დააჭირეთ ""enter"" -ს"
111,ka.app.languages.en,English,English
112,ka.app.languages.ka,Georgian,ქართული
113,ka.app.languages._en,English,English
114,ka.app.languages._ka,ქართული,ქართული
115,ka.app.common.name,Sheaghe,შეაღე
116,ka.app.common.slogan,Discovering Services,აღმოაჩინე სერვისები
117,ka.app.common.description,"
Sheaghe is a unified database of organizations that provide services to persons with disabilities.
Using it you will be able to find information about any service registered in Georgia according to its geographical location and type of service.","""შეაღე"" არის იმ ორგანიზაციების ერთიანი ბაზა, რომლებიც აწვდიან მომსახურებას შეზღუდული შესაძლებლობის მქონე პირებს.  
მისი გამოყენებით თქვენ შეძლებთ მოიძიოთ ინფორმაცია საქართველოში რეგისტრირებული ნებისმიერი მომსახურების შესახებ მისი გეოგრაფიული მდებარეობის და მომსახურების ტიპის მიხედვით. "
118,ka.app.common._yes,Yes,დიახ
119,ka.app.common._no,No,არა
120,ka.app.common.mac_alt,MAC seeks to transform the lives of the most vulnerable around the world by providing them with the resources they need and by strengthening the systems and individuals that provide them care.,"მაკი ცდილობს მოწყვლადი ჯგუფების ცხოვრების ხარისხის გაუმჯობესებას,  საჭირო რესურსების მიწოდებით, მხარდამჭერი სისტემებისა და მათზე მზრუნველი საზოგადოების გაძლიერების გზით. "
121,ka.app.common.created_by,Created By,შექმნილია
122,ka.app.common.forset_alt,Data Communication: Innovative. Effective. Simple.,კომუნიკაცია მონაცემებით: ინოვაციური. ეფექტური. მარტივი.
123,ka.app.common.privacy_policy,Privacy Policy,კონფიდენციალურობა
124,ka.app.common.terms_of_use,Terms of Use,გამოყენების პირობები
125,ka.app.common.contact,-----,-----
126,ka.app.common.rate,Rate,შეფასება
127,ka.app.common.missing,Missing,ცარიელია
128,ka.app.common.or,or,ან
129,ka.app.common.register,Register,რეგისტრაცია
130,ka.app.common.sign_in,Sign In,შესვლა
131,ka.app.common.sign_up,Sign Up,რეგისტრაცია
132,ka.app.common.cancel,Cancel,გაუქმება
133,ka.app.common.reset,Reset,განულება
134,ka.app.common.reset_password,Reset Password,პაროლის განახლება
135,ka.app.common.change_password,Change Password,პაროლის შეცვლა
136,ka.app.common.resend,Resend,ხელახლა გაგზავნა
137,ka.app.common.click_here,Click Here,დააწკაპუნეთ აქ
138,ka.app.common.alt,%{alt} Image,%{alt} სურათი
139,ka.app.common.by,by,მიერ
140,ka.app.common.save,Save,შენახვა
141,ka.app.messages.success_created,%{obj} was successfully created.,%{obj} წარმატებით შეიქმნა.
142,ka.app.messages.success_updated,%{obj} was successfully updated.,%{obj} წარმატებით განახლდა.
143,ka.app.messages.fail_updated,%{obj} failed to update.,%{obj} ინფორმაციის განახლება ვერ მოხდა.
144,ka.app.messages.success_destroyed,%{obj} was successfully deleted.,%{obj} წარმატებით გაუქმდა.
145,ka.app.messages.fail_destroyed,%{obj} failed to delete.,%{obj} ინფორმაციის გაუქმება ვერ მოხდა.
146,ka.app.messages.success_restored,%{obj} was successfully restored.,%{obj} ინფორმაცია წარმატებით აღდგა.
147,ka.app.messages.fail_restored,%{obj} failed to restore.,%{obj} ინფორმაციის აღდგენა ვერ მოხდა.
148,ka.app.messages.accepted,%{obj} was successfully accepted.,%{obj} წარმატებით იქნა მიღებული.
149,ka.app.messages.declined,%{obj} was successfully declined.,%{obj} მოხდა უარყოფა.
150,ka.app.messages.fail_updated_state,%{obj} status failed to update.,%{obj} სტატუსის განახლება ვერ მოხდა.
151,ka.app.messages.state_already_set,%{obj} status already set.,%{obj} აღნიშნული სტატუსი უკვე არსებობს.
152,ka.app.messages.contact_send_success,Message successfully sent.,შეტყობინება წარმატებით გაიგზავნა.
153,ka.app.messages.contact_send_fail,Failed to send message.,შეტყობინების გაგზავნა ვერ მოხდა.
154,ka.app.messages.service_parent_missing,The parent service record could not be found.,მომსახურებაზე ჩანაწერი ვერ მოიძებნა 
155,ka.app.messages.missing_services,Services must be selected.,აუცილებელია მომსახურების არჩევა 
156,ka.app.messages.record_not_found,%{obj} could not be found.,%{obj} ვერ მოიძებნა
157,ka.app.messages.confirm_leave_form,You have unsaved changes. Are you sure you want to leave without saving?,ზოგიერთი ცვლილება არ არის დამახსოვრებული. გსურთ გამოსვლა ინფორმაციის დამახსოვრების გარეშე? 
158,ka.app.messages.no_data,There are no %{obj} records in the system at this time.,"
მოცემულ ეტაპზე ჩანაწერები %{obj}ს  შესახებ არ  იძებნება "
159,ka.app.messages.success_accepted,%{obj} was successfully accepted.,%{obj} წარმატებით იქნა მიღებული.
160,ka.app.messages.success_sent,%{obj} was successfully sent.,%{obj} წარმატებით გაიგზავნა.
161,ka.app.messages.success_removed,%{obj} was successfully removed.,%{obj} წარმატებით გაუქმდა.
162,ka.app.messages.fail_removed,%{obj} failed to remove.,%{obj} გაუქმება ვერ მოხდა. 
163,ka.shared.toggle_navigation,Show navigation,ნავიგაციის ჩვენება
164,ka.shared.user_profile,Your Account,თქვენი ანგარიში 
165,ka.shared.provider_profile,Provider Profile,სერვისის მიმწოდებლის პროფილი
166,ka.shared.admin_profile,Admin Section,ადმინისტრატორის სექცია
167,ka.shared.manage,Manage,მართვა
168,ka.shared.moderate,Moderate,მოდერაცია
169,ka.shared.fields_localization,Fields to translate,სათარგმნი ველები
170,ka.shared.picked_as_favorite,Picked as favorite,ფავორიტებში დამატება
171,ka.shared.overall_rating, Rating: %{rating},შეფასება%{rating}/5
172,ka.shared.overall_rating_js, Rating,შეფასება
173,ka.shared.rating_threshold,/%{n},/%{n}
174,ka.shared.rating, Rating,შეფასება
175,ka.shared.search,Search,ძიება
176,ka.shared.and_up,& Up,& ზევით
177,ka.shared.rate,Give rating of %{n},შეაფასეთ %{n}
178,ka.shared.rate_reset,Delete your rating,გააუქმეთ შეფასება 
179,ka.shared.view_all_provider_places,See all places from this service provider,ამ მიმწოდებლის ყველა მომსახურების ნახვა 
180,ka.shared.view_place_details,View organisation details,ინფორმაციის ნახვა  ორგანიზაციაზე
181,ka.shared.view_all_services,View All Services,ყველა მომსახურების ნახვა
182,ka.shared.view_all_service_places,See all organizations with this service,ყველა ორგანიზაციის ნახვა ამ ტიპის მომსახურებით 
183,ka.shared.add,Add,დამატება
184,ka.shared.add_sub_service,Add Service,მომსახურების დამატება  
185,ka.shared.upload_image,Upload Photos,ფოტოების ატვირთვა
186,ka.shared.delete_image,Delete Photo,სურათის წაშლა
187,ka.shared.pending,Pending,მიმდინარე
188,ka.shared.accept,Accept,დასტური
189,ka.shared.accepted,Accepted,დადასტურებული
190,ka.shared.decline,Decline,უარყოფა
191,ka.shared.declined,Declined,უარყოფილი
192,ka.shared.processed,Processed,დასრულებული
193,ka.shared.no_data_found,There is no data on record at this time.,"ამ ეტაპზე, ინფორმაცის არ მოიძებნა."
194,ka.shared.no_service_data_found,There is no service data on record at this time.,"ამ ეტაპზე, ინფორმაცია მომსახურების შესახებ არ მოიძებნა."
195,ka.shared.all_done,Nothing records to moderate!,არ საჭიროებს შემოწმებას! 
196,ka.shared.are_you_sure,Are you sure?,დარწმუნებული ხართ?
197,ka.shared.favorite,Favorite,ჩემი ფავორიტი
198,ka.shared.unfavorite,Unfavorite,არა ფავორიტი
199,ka.shared.url_placeholder,ex: http://www.example.org,ex: http://www.example.org
200,ka.shared.or,Or,ან
201,ka.shared.labels.state,Status:,სტატუსი:
202,ka.shared.title.report,Report a problem ,პრობლემის შეტყობინება 
203,ka.shared.title.ownership,Are you a service provider and this is your organisation ? Take ownership of this place so you can manage the content.,"თუ თქვენ ხართ მომსახურების მიმწოდებელი, შეგიძლიათ მართოთ მონაცემები. "
204,ka.shared.title.favorite,Add or remove this organisation from your favorites,დაამატე ან წაშალე ორგანიზაცია ფავორიტებიდან
205,ka.shared.filters.children,Children (0-18),ბავშვები (0-18)
206,ka.shared.filters.adults,Adults 18+,ზრდასრულები 18+
207,ka.shared.services,Services,მომსახურებები
208,ka.shared.director,Director,ხელმძღვანელი
209,ka.shared.region,Region,რეგიონი
210,ka.shared.municipality,Municipality,მუნიციპალიტეტი
211,ka.shared.city_village,City / Village,ქალაქი / სოფელი
212,ka.messages.succeed_to_process,%{action} was successfully submitted,%{action} წარმატებით დაემატა 
213,ka.messages.succeed_to_process_reject,%{action} was successfully removed.,%{action} წარმატებით გაუქმდა.
214,ka.messages.failed_to_process,Request for %{action} failed.,მოთხოვნა %{action} უარყოფილია.
215,ka.messages.place_rate, rating,შეფასება
216,ka.messages.favorite_place,Favorite,ფავორიტი
217,ka.messages.place_ownership,Place ownership,მფლობელი
218,ka.messages.place_report,Place report,შეტყობინების გაგზავნა
219,ka.messages.n_photo_uploaded.one,Photo uploaded.,ფოტო აიტვირთა.
220,ka.messages.n_photo_uploaded.other,%{n} photos uploaded.,%{n} ფოტოები აიტვირთა.
221,ka.messages.n_photo_uploaded_and_pending.one,Photo uploaded and waiting to be processed,ფოტო აიტვირთა და ელოდება საბოლოო დასტურს
222,ka.messages.n_photo_uploaded_and_pending.other,%{n} photos uploaded and waiting to be processed,%{n} ფოტოები აიტვირთა და ელოდება საბოლოო დასტურს
223,ka.messages.uploader_failed,"Error while uploading photos, please contact administration","ხარვეზია ფოტოების ატვირთვისას, დაუკავშირდით ადმინისტრატორს"
224,ka.messages.assign_provider_to_success,%{child} %{child_name} was assigned to the provider %{name} successfully,%{child} %{child_name} წარმატებით გახდა %{name} მომსახურების  მიმწოდებელი
225,ka.messages.assign_provider_to_failed,Failed to assign %{child} to provider,%{child} ვერ გახდა სერვისის მიმწოდებელლი
226,ka.messages.unassign_provider_to_success,%{child} %{child_name} unassigned from provider %{name} successfully, %{child} %{child_name} აღარ არის %{name} მიმწოდებელი
227,ka.messages.unassign_provider_to_failed,Failed to unassign %{child} from provider, %{child} ვერ გაუქმდა 
228,ka.messages.provider_role_required,This operation require user to be service provider.,აღნიშნული ქმედება შეუძლია მხოლოდ მომსახურების მიმწოდებელს
229,ka.admin.shared.add,Add,დამატება
230,ka.admin.shared.save,Save,შენახვა
231,ka.admin.shared.cancel,Cancel,გაუქმება
232,ka.admin.shared.reset,Reset,განახლება
233,ka.admin.shared.edit,Edit,რედაქტირება
234,ka.admin.shared.delete,Delete,წაშლა
235,ka.admin.shared.actions,Actions,მოქმედება
236,ka.admin.shared.assign,Assign,განაწილება
237,ka.admin.shared.view,View,ნახვა
238,ka.admin.shared.add_model,Add %{name},%{name}ს  დამატება
239,ka.admin.shared.edit_model,Edit %{name},%{name}ს რედაქტირება
240,ka.admin.shared.manage_model,Manage %{name},%{name}ს მართვა
241,ka.admin.shared.create_model,Create %{name},შექმნა %{name}
242,ka.admin.shared.confirm_delete_model,%{name} will be removed.,%{name} წაიშლება.
243,ka.admin.shared.confirm_restore_model,%{name} will be restored.,%{name} აღდგება.
244,ka.admin.shared.search_assign_placeholder,Find object (min 3 chars),ინფორმაციის მოძიება (მინ. 3 მახასიათებელი)  
245,ka.admin.shared.add_service,Add Service,მომსახურების დამატება
246,ka.admin.shared.add_service_for_place,Add a Service to %{place},მომსახურების დამატება  %{place}სთვის
247,ka.admin.shared.input_service_for_place,%{place} Service Details for '%{service}',%{place}-ს ინფორმაცია '%{service}'-ზე
248,ka.admin.shared.invitations_for_place,Manage Access to %{place},%{place} - ზე წვდომა 
249,ka.admin.shared.manage_access,Manage Access,წვდომა
250,ka.admin.shared.next,Next,შემდეგი
251,ka.admin.shared.select_all,Select all that apply,შეარჩიე ყველა შესაბამისი 
252,ka.admin.shared.is_required,must be provided,უნდა იყოს მიწოდებული 
253,ka.admin.shared.place_needs_services,You need to add services to the organisation before it is viewable to the public,"იმისათვის, რომ ორგანიზაცია გახდეს საჯარო, საჭიროა ინფორმაციის დამატება მომსახურების შესახებ"
254,ka.admin.shared.move_up,Move the item up the list,ატანა 
255,ka.admin.shared.move_down,Move the item down the list,ჩამოტანა 
256,ka.admin.shared.position,Position,პოზიცია
257,ka.admin.shared.invite,Invite,მოწვევა
258,ka.admin.shared.revoke_access,Revoke Access,წვდომის გაუქმება
259,ka.admin.shared.restore,Restore,აღდგენა
260,ka.admin.providers.confirm_delete,Provider will be removed with all places bind to it.,მოხდება მომსახურების მიმწოდებლის და მასთან დაკავშირებული ყველა ადგილის წაშლა.
261,ka.admin.providers.confirm_restore,Provider will be restored with all places bind to it.,მოხდება პროვაიდერის და მასთან დაკავშირებული ყველა ადგილის აღდგენა.
262,ka.admin.providers.form.owner_users,Owners:,მფლობელები:
263,ka.admin.providers.form.places,Places:,ადგილები:
264,ka.admin.providers.list.manage,Manage Providers,მიმწოდებლის მართვა
265,ka.admin.providers.list.manage_with_no_owners,Manage Providers With No Owner,მიმწოდებლის მართვა ვისაც არ ყავს მფლობელი
266,ka.admin.users.pending_invitations.place_invitation_help_text,"If you have been invitated to manage  information on Sheaghe, the invitation will be listed below.","თუ თქვენ მიიღეთ მოწვევა ინფორმაციის სამართავად, მოწვევა გამოჩნდება ქვემოთ."
267,ka.admin.places.current_provider,Assigned provider,მიმწოდებელი დანიშნულია
268,ka.admin.places.update_provider,Assign provider,მიმწოდებლის შეცვლა
269,ka.admin.places.declined_tags,Declined Tags:,უარყოფილი კატეგორიები:
270,ka.admin.places.list.provider,Provider:,პროვაიდერი:
271,ka.admin.places.list.manage_with_no_owners,Manage Places With No Owner,ადგილის მართვა ვისაც არ ყავს მფლობელი
272,ka.admin.places.select_service.place,Organisation,ორგანიზაცია
273,ka.admin.places.select_service.root_service,Select a Service Category,აირჩიე მომსახურების ტიპი
274,ka.admin.places.select_service.services,Select All Services That Apply,"აირჩიე მომსახურება/მომსახურებები, რომელსაც აწვდი"
